ebird_code_v2022,scientific_name
acowoo,Melanerpes formicivorus
akepa1,Loxops coccineus
aldfly,Empidonax alnorum
amabaw1,Dendrocolaptes certhia
amapyo1,Glaucidium hardyi
amecro,Corvus brachyrhynchos
amegfi,Spinus tristis
amepip,Anthus rubescens
amered,Setophaga ruticilla
amerob,Turdus migratorius
amewoo,Scolopax minor
amgplo,Pluvialis dominica
andeme1,Uranomitra franciae
andsol1,Myadestes ralloides
annhum,Calypte anna
apapan,Himatione sanguinea
astgna1,Conopophaga peruviana
azaspi1,Synallaxis azarae
babwar,Setophaga castanea
baffal1,Micrastur ruficollis
balori,Icterus galbula
banana,Coereba flaveola
barant1,Thamnophilus doliatus
barpet,Hydrobates castro
barswa,Hirundo rustica
bartin2,Crypturellus bartletti
batman1,Pipra fasciicauda
batpig1,Patagioenas fasciata
bawwar,Mniotilta varia
bcnher,Nycticorax nycticorax
belkin1,Megaceryle alcyon
bewwre,Thryomanes bewickii
bkbwar,Setophaga fusca
bkcchi,Poecile atricapillus
bkhgro,Pheucticus melanocephalus
blacar1,Daptrius ater
blackc1,Sylvia atricapilla
blbthr1,Turdus ignobilis
blcbec1,Pachyramphus marginatus
blcjay1,Cyanocorax affinis
blctan1,Stilpnia heinei
blctro1,Trogon curucui
blfant1,Formicarius analis
blfcot1,Conioptilon mcilhennyi
blfjac1,Galbula cyanescens
blfnun1,Monasa nigrifrons
blgdov1,Claravis pretiosa
blhpar1,Pionus menstruus
blhsal1,Saltator atriceps
blkfra,Francolinus francolinus
bltant2,Myrmophylax atrothorax
blttro1,Trogon melanurus
blujay,Cyanocitta cristata
blutit,Cyanistes caeruleus
bnhcow,Molothrus ater
bobfly1,Megarynchus pitangua
boboli,Dolichonyx oryzivorus
brdowl,Strix varia
brebla,Euphagus cyanocephalus
brncre,Certhia americana
brnjay,Psilorhinus morio
brratt1,Attila spadiceus
brwpar1,Pionus chalcopterus
bsbeye1,Phlegopsis nigromaculata
btfgle1,Automolus ochrolaemus
btnwar,Setophaga virens
btywar,Setophaga nigrescens
